2025-03-28 18:18:24,252 - EPOCH ::: 1
2025-03-28 18:35:35,616 - Loss_pi: 3.8162052631378174, Loss_v: 0.161238015939792
2025-03-28 18:35:40,147 - Loss_pi: 3.8068720953805104, Loss_v: 0.15828690252133779
2025-03-28 18:35:44,603 - Loss_pi: 3.792317271232605, Loss_v: 0.14828169532120228
2025-03-28 18:35:49,161 - Loss_pi: 3.7566592428419323, Loss_v: 0.14400237964259255
2025-03-28 18:35:53,603 - Loss_pi: 3.7666163444519043, Loss_v: 0.1389727145433426
2025-03-28 18:35:58,119 - Loss_pi: 3.7544998905875464, Loss_v: 0.13637532767924396
2025-03-28 18:36:02,553 - Loss_pi: 3.7167190512021384, Loss_v: 0.1354492399841547
2025-03-28 18:36:06,980 - Loss_pi: 3.7122071339533877, Loss_v: 0.1310616433620453
2025-03-28 18:36:11,392 - Loss_pi: 3.712948816163199, Loss_v: 0.13059552758932114
2025-03-28 18:36:15,869 - Loss_pi: 3.709657557805379, Loss_v: 0.12815880725781123
2025-03-28 18:36:20,278 - Loss_pi: 3.6847817450761795, Loss_v: 0.12503513554111123
2025-03-28 18:36:24,650 - Loss_pi: 3.665150011287016, Loss_v: 0.12228279254015754
2025-03-28 18:36:29,043 - Loss_pi: 3.6593222088283963, Loss_v: 0.12411536855830087
2025-03-28 18:36:33,496 - Loss_pi: 3.651621128383436, Loss_v: 0.12086513011079085
2025-03-28 18:36:37,992 - Loss_pi: 3.6534300565719606, Loss_v: 0.11714942008256912
2025-03-28 18:36:42,456 - Loss_pi: 3.676949841635568, Loss_v: 0.11972575173491523
2025-03-28 18:36:46,869 - Loss_pi: 3.680156274275346, Loss_v: 0.11997807432304729
2025-03-28 18:36:51,302 - Loss_pi: 3.6605957487355107, Loss_v: 0.12087359117425006
2025-03-28 18:36:55,740 - Loss_pi: 3.6680939396222434, Loss_v: 0.12040907734384139
2025-03-28 18:37:00,210 - Loss_pi: 3.6611372947692873, Loss_v: 0.1206057259440422
2025-03-28 18:37:04,688 - Loss_pi: 3.648373237022987, Loss_v: 0.12014284500708947
2025-03-28 18:37:09,123 - Loss_pi: 3.637943462089256, Loss_v: 0.12031295978360707
2025-03-28 18:37:13,536 - Loss_pi: 3.630129430975233, Loss_v: 0.12155758083931037
2025-03-28 18:37:17,961 - Loss_pi: 3.6224749170500656, Loss_v: 0.12059936004466024
2025-03-28 18:37:22,406 - Loss_pi: 3.614751656850179, Loss_v: 0.11914837658405304
2025-03-28 18:37:26,826 - Loss_pi: 3.605717751287645, Loss_v: 0.11881067699963047
2025-03-28 18:37:31,252 - Loss_pi: 3.6011103242635727, Loss_v: 0.12047927058301866
2025-03-28 18:37:35,676 - Loss_pi: 3.6018390294277305, Loss_v: 0.11969023897792354
2025-03-28 18:37:40,182 - Loss_pi: 3.620413071968976, Loss_v: 0.12026673380066366
2025-03-28 18:37:44,743 - Loss_pi: 3.611725718634469, Loss_v: 0.11994891273123877
2025-03-28 18:37:49,210 - Loss_pi: 3.6006634566518994, Loss_v: 0.11919791686038177
2025-03-28 18:37:53,680 - Loss_pi: 3.599335902446025, Loss_v: 0.11930099331043861
2025-03-28 18:37:58,135 - Loss_pi: 3.598053819254825, Loss_v: 0.11904294161420119
2025-03-28 18:38:02,631 - Loss_pi: 3.602667924685356, Loss_v: 0.11883065238212928
2025-03-28 18:38:07,031 - Loss_pi: 3.597737592458725, Loss_v: 0.11898409891873599
2025-03-28 18:38:11,462 - Loss_pi: 3.595271104719581, Loss_v: 0.1172220964984196
2025-03-28 18:38:15,890 - Loss_pi: 3.5930101360593523, Loss_v: 0.11740631823028837
2025-03-28 18:38:20,283 - Loss_pi: 3.595391029535338, Loss_v: 0.11788454132024632
2025-03-28 18:38:24,732 - Loss_pi: 3.5932448452169243, Loss_v: 0.11909652501344681
2025-03-28 18:38:29,154 - Loss_pi: 3.595301310221354, Loss_v: 0.12097240090370179
2025-03-28 18:38:33,590 - Loss_pi: 3.5979266374007515, Loss_v: 0.12044548291874968
2025-03-28 18:38:38,009 - Loss_pi: 3.598558821576707, Loss_v: 0.1207933208726822
2025-03-28 18:38:42,439 - Loss_pi: 3.5965974728266397, Loss_v: 0.11959404793257515
2025-03-28 18:38:46,886 - Loss_pi: 3.6026869258102105, Loss_v: 0.11943276986783864
2025-03-28 18:38:51,354 - Loss_pi: 3.601069993972778, Loss_v: 0.11861260116100311
2025-03-28 18:38:55,748 - Loss_pi: 3.6064738946802475, Loss_v: 0.11899889538101122
2025-03-28 18:39:00,207 - Loss_pi: 3.6027346024146447, Loss_v: 0.11947877361224248
2025-03-28 18:39:04,604 - Loss_pi: 3.5991510445216917, Loss_v: 0.11896885509760875
2025-03-28 18:39:09,014 - Loss_pi: 3.598158112278691, Loss_v: 0.1185061927470896
2025-03-28 18:39:13,465 - Loss_pi: 3.6067789511247113, Loss_v: 0.11892667345025322
2025-03-28 18:39:18,036 - Loss_pi: 3.604481135095869, Loss_v: 0.11816757478352104
2025-03-28 18:39:23,147 - Training data and plots saved to training_plots\run_20250328_181824
